question,answer,category,difficulty
전세권 등기 말소는 언제 가능한가요?,"전세권 등기는 전세 계약 종료 시 말소할 수 있습니다. 보증금을 반환받은 후 임대인과 임차인이 공동으로 말소신청을 하거나, 임차인이 단독으로 말소할 수 있습니다.",부동산물권,초급
부동산 매매계약에서 중간생략등기가 가능한가요?,"중간생략등기는 원칙적으로 불가능합니다. 부동산 물권변동은 등기를 통해 공시되어야 하며, 모든 권리변동 과정이 등기부에 기재되어야 합니다. 다만 매매예약 등 특수한 경우에는 예외가 인정될 수 있습니다.",부동산물권,고급
건물신축을 위한 토지 임차권의 대항력은 언제 생기나요?,"건물신축을 위한 토지 임차권의 대항력은 건물이 완성되고 건물등기를 마친 때부터 생깁니다. 토지 임차권만으로는 대항력이 없으며, 건물의 완성과 등기가 모두 필요합니다.",부동산물권,고급
공동담보 설정 시 각 부동산의 담보가치는 어떻게 평가되나요?,공동담보 설정 시 각 부동산의 시가를 기준으로 담보가치를 평가합니다. 근저당권의 경우 극한액 범위 내에서 각 부동산의 가치 비율에 따라 담보책임을 부담합니다.,부동산물권,중급
부동산 경매에서 임차권의 효력은 어떻게 되나요?,"부동산 경매에서 임차권은 대항력과 우선변제권의 유무에 따라 효력이 달라집니다. 대항력이 있는 임차권은 경매로도 소멸하지 않으며, 우선변제권이 있다면 배당을 받을 수 있습니다.",부동산물권,고급
전세 사기 피해자가 임시거처를 제공받을 수 있나요?,"네, 전세 사기 피해자는 정부의 긴급주거지원을 통해 임시거처를 제공받을 수 있습니다. 전세피해지원센터에 신청하면 공공임대주택이나 전세임대주택을 우선 공급받을 수 있습니다.",전세사기,초급
전세 계약서 없이 전세 사기를 당한 경우 어떻게 해야 하나요?,"전세 계약서가 없어도 계약금 지급 영수증, 은행 이체 내역, 문자 메시지, 증인 등을 통해 전세 계약 사실을 입증할 수 있습니다. 이러한 증거들을 수집하여 법적 대응을 할 수 있습니다.",전세사기,중급
전세 사기 가해자에 대한 형사처벌은 어떻게 되나요?,"전세 사기 가해자는 사기죄로 10년 이하의 징역 또는 2천만원 이하의 벌금에 처해질 수 있습니다. 피해 규모가 큰 경우 가중처벌되며, 배임죄나 횡령죄가 함께 적용될 수 있습니다.",전세사기,중급
전세 사기 특별법의 주요 내용은 무엇인가요?,"전세 사기 특별법은 피해자 구제를 위한 특별절차를 규정합니다. 주요 내용으로는 전세피해지원센터 설치, 긴급주거지원, 전세보증금 대출 상환 유예, 피해자 우선 공공임대주택 공급, 가해자 처벌 강화 등이 있습니다.",전세사기,중급
전세보증금 반환보증보험 가입 시 보험료는 누가 부담하나요?,"전세보증금 반환보증보험의 보험료는 일반적으로 임차인이 부담합니다. 보험료율은 전세보증금의 0.128%~0.175% 수준이며, 임대인의 동의 없이도 가입할 수 있습니다.",전세사기,초급
전세 계약 해지 시 임대인이 보증금 반환을 지연하면 어떻게 되나요?,"전세 계약 해지 후 임대인이 보증금 반환을 지연하면 연 6%의 지연이자를 지급해야 합니다. 정당한 사유 없이 지연하는 경우 손해배상책임도 부담하며, 강제집행을 통해 보증금을 회수할 수 있습니다.",전세사기,중급
전세보증금을 안전하게 보호하는 방법은 무엇인가요?,"전세보증금 보호를 위해서는 전세권 등기, 전세보증보험 가입, 등기부 확인을 통한 선순위 채권 파악, 집값 대비 적정한 전세가 책정, 신뢰할 수 있는 중개업체 이용 등이 필요합니다.",전세사기,중급
갭투자로 인한 전세 사기 위험성은 무엇인가요?,"갭투자는 전세보증금으로 주택 구입자금을 조달하는 방식으로, 집값 하락 시 전세보증금 회수가 어려워집니다. 임대인의 자산 상태와 대출 규모를 파악하여 투자 위험을 사전에 확인해야 합니다.",전세사기,중급
전세 사기 피해자의 우선변제권은 어떻게 행사하나요?,전세 사기 피해자는 주택임대차보호법상 대항력과 우선변제권을 갖습니다. 경매 절차에서 배당요구를 하여 선순위 담보권자 다음으로 우선 변제받을 수 있습니다.,전세사기,고급
전세 사기 예방을 위한 확정일자의 역할은 무엇인가요?,"확정일자는 전세 계약서에 관할 세무서나 구청에서 받는 날짜 도장으로, 우선변제권 순위를 결정하는 기준이 됩니다. 확정일자를 받지 않으면 대항력은 있지만 우선변제권은 없습니다.",전세사기,중급
임대인이 여러 명에게 같은 집을 전세로 준 경우 어떻게 되나요?,"임대인이 같은 집을 여러 명에게 전세로 준 경우, 먼저 입주하고 전입신고를 완료한 임차인이 대항력을 갖습니다. 확정일자를 먼저 받은 임차인이 우선변제권에서 우선합니다.",전세사기,고급
전세 계약 중 집주인이 사망한 경우 어떻게 되나요?,"집주인이 사망해도 전세 계약은 유효하게 승계됩니다. 상속인들이 임대인의 지위를 승계하며, 전세보증금 반환 의무도 함께 승계됩니다. 상속 포기 시에는 상속재산관리인을 선임해야 합니다.",전세사기,중급
전세 사기 피해 시 민사소송과 형사고발을 동시에 할 수 있나요?,"네, 가능합니다. 민사소송과 형사고발은 별개의 절차이므로 동시에 진행할 수 있습니다. 형사고발을 통해 가해자를 처벌하고, 민사소송을 통해 손해배상을 청구할 수 있습니다.",전세사기,중급
전세 사기 의심 시 신고할 수 있는 기관은 어디인가요?,"전세 사기 의심 시 경찰서, 국토교통부 전세피해지원센터, 한국토지주택공사(LH) 전세피해신고센터, 각 지방자치단체 전세피해 신고처 등에 신고할 수 있습니다.",전세사기,초급
전세 계약서 작성 시 반드시 포함해야 할 내용은 무엇인가요?,"전세 계약서에는 당사자 정보, 목적물의 표시, 전세보증금, 존속기간, 임대인 인감날인, 중개업자 정보, 특약사항 등이 포함되어야 합니다. 또한 등기부상 권리관계를 확인하고 기재해야 합니다.",전세사기,중급
전세 사기 피해자를 위한 전세자금대출 상환 유예는 어떻게 되나요?,전세 사기 피해자는 전세자금대출 상환을 최대 2년까지 유예받을 수 있습니다. 피해 신고 후 전세피해지원센터를 통해 관련 금융기관에 신청하면 이자 부담 경감 등의 혜택을 받을 수 있습니다.,전세사기,중급
전세 사기 재발 방지를 위한 제도적 개선 방안은 무엇인가요?,"전세 사기 재발 방지를 위해 전월세 신고제 도입, 전세보증보험 의무화, 부동산 실거래가 공개 확대, 임대사업자 등록 의무화, 전세가 대비 집값 비율 제한 등이 논의되고 있습니다.",전세사기,고급
지분권자 중 일부만 전세 계약에 동의한 경우 계약의 효력은 어떻게 되나요?,"공동소유 부동산에서 지분권자 중 일부만 전세 계약에 동의한 경우, 동의하지 않은 지분권자에 대해서는 계약이 무효입니다. 전체 지분권자의 동의 없이는 완전한 전세 계약이 성립하지 않습니다.",부동산물권,고급
부동산 전세권 등기 시 공동담보 설정이 필요한 경우는 언제인가요?,"건물과 토지가 다른 소유자에게 속하거나, 건물의 부속토지가 여러 필지인 경우 공동담보 설정이 필요합니다. 또한 전세보증금이 건물 가치를 초과하는 경우에도 토지에 공동담보를 설정할 수 있습니다.",부동산물권,중급
미등기 건물에 대한 전세 계약의 효력은 어떻게 되나요?,미등기 건물에 대한 전세 계약도 유효합니다. 다만 전세권 등기를 할 수 없으므로 주택임대차보호법상 보호를 받아야 합니다. 입주와 전입신고를 통해 대항력을 취득할 수 있습니다.,부동산물권,중급
부동산 소유권 이전 시 기존 임차인의 권리는 어떻게 되나요?,"부동산 소유권 이전 시 대항력이 있는 임차인의 권리는 새로운 소유자에게 승계됩니다. 임차인은 새로운 소유자에게 임차권을 주장할 수 있으며, 보증금 반환 의무도 승계됩니다.",부동산물권,중급
부동산 경매에서 임차인이 보증금을 배당받는 절차는 어떻게 되나요?,부동산 경매에서 임차인은 배당요구를 하여 보증금을 배당받을 수 있습니다. 대항력과 우선변제권이 있는 임차인은 선순위 담보권자보다 우선하여 배당받을 수 있습니다.,부동산물권,중급
부동산 물권의 대항력과 우선변제권의 차이는 무엇인가요?,"대항력은 제3자에게 권리를 주장할 수 있는 효력이고, 우선변제권은 경매 등에서 다른 채권자보다 우선하여 배당받을 수 있는 권리입니다. 대항력이 있어도 우선변제권이 없으면 배당에서 후순위가 됩니다.",부동산물권,중급
부동산 담보권의 실행 방법에는 어떤 것들이 있나요?,"부동산 담보권의 실행 방법으로는 경매, 임의경매, 담보권 실행을 위한 임의처분 등이 있습니다. 근저당권자는 채무불이행 시 담보부동산을 경매에 부쳐 채권을 회수할 수 있습니다.",부동산물권,중급
부동산 등기의 공신력이 인정되는 경우는 언제인가요?,우리나라는 등기에 공신력을 인정하지 않는 것이 원칙입니다. 다만 제3자가 등기를 믿고 거래한 경우 선의·무과실이면 보호받을 수 있는 경우가 있습니다. 이는 매우 제한적으로 인정됩니다.,부동산물권,고급
부동산 가등기담보의 법적 성질은 무엇인가요?,"가등기담보는 담보의 목적으로 설정하는 가등기로, 담보권의 성질을 갖습니다. 채무불이행 시 가등기를 본등기로 이전하여 소유권을 취득하지만, 청산의무가 있어 과도한 이익을 방지합니다.",부동산물권,고급
부동산 취득시효 완성 후 등기 절차는 어떻게 되나요?,"취득시효 완성 후에는 시효취득자가 등기를 신청할 수 있습니다. 진정한 소유자의 협력을 얻어 소유권이전등기를 하거나, 협력을 거부하면 소유권이전등기청구소송을 제기할 수 있습니다.",부동산물권,중급
부동산 공동소유에서 지분처분의 제한은 있나요?,"공동소유자는 자신의 지분을 자유롭게 처분할 수 있습니다. 다만 다른 공동소유자에게 우선매수권이 있는 경우가 있으며, 전체 부동산의 처분에는 모든 공동소유자의 동의가 필요합니다.",부동산물권,중급
부동산 유치권의 성립 요건은 무엇인가요?,"부동산 유치권은 부동산에 관하여 생긴 채권을 담보하기 위해 그 부동산을 유치할 수 있는 권리입니다. 채권과 목적물 사이의 견련관계, 채권의 변제기 도래, 목적물의 점유 등이 성립 요건입니다.",부동산물권,중급
부동산 전세권의 소멸 사유는 무엇인가요?,"전세권은 존속기간 만료, 목적물의 멸실, 전세권의 포기, 전세권자의 용법위반으로 인한 해지, 혼동 등으로 소멸합니다. 소멸 시 전세권 등기도 함께 말소되어야 합니다.",부동산물권,중급
부동산 매매계약에서 위험부담은 누가 지나요?,부동산 매매계약에서 소유권 이전 전까지는 매도인이 위험을 부담하는 것이 원칙입니다. 다만 매수인의 책임 있는 사유로 인한 경우에는 매수인이 위험을 부담할 수 있습니다.,부동산물권,중급
부동산 경매에서 법정지상권이 성립하는 경우는 언제인가요?,"토지와 건물이 동일인 소유였다가 경매로 소유자가 달라진 경우, 건물의 존속을 위해 법정지상권이 성립합니다. 건물이 경매되면 토지에 대한 지상권이, 토지가 경매되면 건물을 위한 지상권이 성립합니다.",부동산물권,고급
계약은 어떻게 성립하나요?,"계약은 청약과 승낙의 의사표시가 합치할 때 성립합니다(민법 제527조 이하). 청약은 그에 응하는 승낙만 있으면 곧 계약이 성립할 정도로 구체적·확정적이어야 하며, 승낙은 청약의 내용과 일치해야 합니다. 예외적으로 교차청약(제533조)이나 의사실현(제532조)으로 성립하기도 합니다.",계약법,초급
청약을 한 번 한 후 마음대로 철회할 수 있나요?,"원칙적으로 청약은 철회하지 못합니다(민법 제527조). 청약이 상대방에게 도달한 후에는 일방적으로 효력을 소멸시킬 수 없습니다. 다만 승낙기간 내에 승낙의 통지를 받지 못하면 청약은 효력을 잃고(제528조), 승낙기간을 정하지 않은 경우 상당한 기간이 지나면 효력을 잃습니다(제529조).",계약법,중급
격지자 간 계약은 언제 성립하나요?,"민법 제531조에 따라 격지자 간의 계약은 승낙의 통지를 발송한 때에 성립합니다(발신주의). 이는 의사표시의 도달주의 원칙(제111조)의 예외로, 신속한 거래 결제를 위한 규정입니다. 다만 전자거래 등 즉시 통신이 가능한 현대 환경에서는 적용 사례가 줄고 있습니다.",계약법,고급
채무불이행이란 무엇이고 어떤 책임을 지나요?,"채무불이행이란 채무자가 채무의 내용에 좇은 이행을 하지 않는 것을 말합니다(민법 제390조). 유형으로는 이행지체, 이행불능, 불완전이행이 있습니다. 채무자에게 고의나 과실이 있으면 채권자는 손해배상을 청구할 수 있고, 계약 해제권을 행사할 수도 있습니다. 다만 채무자에게 귀책사유가 없으면 책임이 면제됩니다.",계약법,중급
채무불이행으로 인한 손해배상의 범위는 어떻게 정해지나요?,"민법 제393조에 따라 채무불이행으로 인한 손해배상은 통상의 손해를 한도로 합니다(제1항). 특별한 사정으로 인한 손해는 채무자가 그 사정을 알았거나 알 수 있었을 때에 한하여 배상책임이 있습니다(제2항). 손해는 원칙적으로 금전배상이며(제394조), 과실상계(제396조)와 손익상계의 법리가 적용됩니다.",계약법,중급
금전채무의 지연으로 인한 손해배상은 어떻게 계산하나요?,"민법 제397조에 따라 금전채무 불이행 시 손해배상액은 법정이율(연 5%, 상사채무는 연 6%)로 계산합니다. 약정이율이 법정이율보다 높으면 약정이율이 적용되며, 이자제한법상 최고이율(연 20%)을 초과할 수 없습니다. 금전채무는 손해 증명이 필요 없고 채무자는 과실 없음을 항변할 수 없습니다.",계약법,중급
계약 해제권은 어떤 경우에 발생하나요?,"법정해제권은 ① 이행지체 시 상당한 기간을 정해 최고한 후 그 기간 내에 이행하지 않은 때(민법 제544조), ② 이행불능이 채무자의 귀책사유로 발생한 때(제546조), ③ 정기행위에서 이행기 도과 시(제545조) 발생합니다. 약정해제권은 당사자가 계약으로 정한 경우 행사할 수 있습니다(제543조).",계약법,중급
계약 해제와 해지는 어떻게 다른가요?,"계약 해제는 일시적 계약(매매 등)에서 소급적으로 계약을 소멸시키는 것으로, 당사자는 원상회복의무를 부담합니다(민법 제548조). 반면 해지는 임대차·고용 등 계속적 계약에서 장래에 향하여 계약을 종료시키는 것으로, 소급효가 없고 이미 이행된 부분은 유효합니다. 손해배상청구권은 양자 모두 인정됩니다.",계약법,중급
손해배상액의 예정(위약금)은 무효가 될 수도 있나요?,"민법 제398조에 따라 당사자는 채무불이행에 관한 손해배상액을 미리 정할 수 있습니다. 다만 예정액이 부당히 과다한 경우 법원은 적당히 감액할 수 있습니다(제2항). 위약금 약정은 손해배상액의 예정으로 추정되며, 위약벌의 성격이 명시된 경우에는 그 자체로는 감액이 어렵고 공서양속 위반 시 일부 무효가 됩니다.",계약법,고급
동시이행항변권이란 무엇인가요?,동시이행항변권은 쌍무계약에서 상대방이 자신의 채무 이행을 제공하기 전까지 자신의 채무 이행을 거절할 수 있는 권리입니다(민법 제536조). 예컨대 매수인은 매도인이 등기서류를 교부하기 전까지 잔금 지급을 거절할 수 있습니다. 동시이행항변권을 행사하면 이행지체책임을 면합니다.,계약법,중급
이행보조자의 과실은 누가 책임지나요?,"민법 제391조에 따라 채무자가 채무이행을 위해 사용한 이행보조자(피용자, 수임자 등)의 고의·과실은 채무자 본인의 고의·과실로 봅니다. 따라서 채무자는 이행보조자의 잘못으로 발생한 채무불이행에 대해서도 직접 책임을 부담합니다. 사용자책임(제756조)과는 별개의 채무불이행 책임 영역입니다.",계약법,고급
약관의 규제는 어떻게 이루어지나요?,"약관의 규제에 관한 법률에 따라 사업자가 일방적으로 작성한 약관 중 신의성실의 원칙에 반하여 공정성을 잃은 조항은 무효입니다(약관규제법 제6조). 면책조항, 손해배상액 예정조항, 계약해제·해지조항 등은 더욱 엄격히 통제되며, 약관의 명시·설명 의무를 위반한 경우 해당 조항을 계약 내용으로 주장할 수 없습니다.",계약법,중급
계약금은 어떤 법적 성질을 가지나요?,"민법 제565조에 따라 계약금은 해약금으로 추정됩니다. 매수인은 계약금을 포기하고, 매도인은 계약금의 배액을 상환하여 계약을 해제할 수 있으며, 이는 당사자 일방이 이행에 착수할 때까지 가능합니다. 위약금 약정이 있으면 위약금의 성격도 가질 수 있고, 증약금(계약 성립의 증거)으로서의 기능도 합니다.",계약법,중급
매도인의 하자담보책임은 무엇인가요?,"민법 제580조에 따라 매매목적물에 하자가 있는 경우 매도인은 무과실책임을 집니다. 매수인이 선의·무과실이라면 ① 하자로 계약 목적 달성이 불가능한 때 계약 해제, ② 그 외에는 손해배상을 청구할 수 있습니다. 권리는 매수인이 사실을 안 날로부터 6개월 내에 행사해야 합니다(제582조).",계약법,중급
착오로 인한 계약 취소는 어떤 요건을 갖춰야 하나요?,민법 제109조에 따라 의사표시가 법률행위의 중요부분에 착오가 있는 때에는 취소할 수 있습니다. 다만 그 착오가 표의자의 중대한 과실로 인한 때에는 취소할 수 없습니다. 또한 취소로써 선의의 제3자에게 대항하지 못합니다. '중요부분'이란 그 점에 관해 착오가 없었다면 의사표시를 하지 않았을 정도의 사항을 말합니다.,계약법,고급
사기·강박에 의한 의사표시는 어떻게 되나요?,민법 제110조에 따라 사기나 강박에 의한 의사표시는 취소할 수 있습니다. 제3자가 사기·강박을 한 경우 상대방이 그 사실을 알았거나 알 수 있었을 때에 한해 취소가 가능합니다. 취소는 선의의 제3자에게 대항하지 못합니다. 별도로 불법행위에 기한 손해배상도 청구할 수 있습니다.,계약법,중급
통정허위표시로 한 계약의 효력은 어떻게 되나요?,"민법 제108조에 따라 상대방과 통정한 허위의 의사표시는 무효입니다. 그러나 그 무효는 선의의 제3자에게 대항하지 못합니다. 예를 들어 채권자 강제집행을 피하기 위한 가장매매는 당사자 사이에서는 무효이지만, 그 부동산을 선의로 매수한 제3자는 보호됩니다.",계약법,고급
비전형계약과 전형계약의 차이는 무엇인가요?,"전형계약은 민법이 명시적으로 규정한 15종의 계약(증여, 매매, 교환, 소비대차, 사용대차, 임대차, 고용, 도급, 여행계약, 현상광고, 위임, 임치, 조합, 종신정기금, 화해)을 말합니다. 비전형계약은 민법에 규정되지 않은 계약(리스, 프랜차이즈, 의료계약 등)으로, 사적자치 원칙상 유효하며 가장 유사한 전형계약 규정을 유추 적용합니다.",계약법,초급
신의성실의 원칙은 어떻게 적용되나요?,"민법 제2조 제1항은 '권리의 행사와 의무의 이행은 신의에 좇아 성실히 하여야 한다'고 규정합니다. 신의칙은 권리남용 금지(제2항), 모순행위 금지, 사정변경의 원칙, 실효의 원칙 등 구체적 법리로 발현됩니다. 명문 규정의 흠결을 보완하고 형식적 법 적용의 폐해를 시정하는 일반조항으로 기능합니다.",계약법,중급
사정변경의 원칙은 인정되나요?,"사정변경의 원칙은 계약 당시 예견할 수 없었던 사정의 현저한 변경으로 종래 계약내용대로의 구속을 강요하는 것이 신의칙에 반하는 경우, 계약을 변경하거나 해지할 수 있다는 법리입니다. 대법원은 매우 제한적으로 인정해왔으나, 코로나19 등을 계기로 적용 논의가 확대되었습니다. 명문 규정은 없으며 신의칙(민법 제2조)에서 도출됩니다.",계약법,고급
불법행위로 인한 손해배상의 요건은 무엇인가요?,"민법 제750조에 따라 ① 가해자의 고의 또는 과실, ② 위법행위, ③ 손해의 발생, ④ 행위와 손해 사이의 인과관계, ⑤ 가해자의 책임능력이라는 요건이 충족되어야 합니다. 모든 요건은 원칙적으로 피해자가 입증해야 합니다.",불법행위,초급
불법행위에 의한 손해배상청구권의 소멸시효는 얼마인가요?,"민법 제766조에 따라 손해 및 가해자를 안 날로부터 3년, 불법행위를 한 날로부터 10년이 경과하면 시효로 소멸합니다. 두 기간 중 어느 하나라도 먼저 경과하면 청구권은 소멸합니다. 미성년자가 성폭력 피해를 입은 경우 등 특칙이 있으며, 국가배상은 별도 규정(국가배상법 제8조)이 적용됩니다.",불법행위,중급
정신적 손해에 대한 위자료는 어떻게 인정되나요?,"민법 제751조에 따라 타인의 신체·자유·명예를 침해하거나 정신적 고통을 가한 자는 재산 외의 손해에 대해서도 배상책임이 있습니다. 위자료는 명확한 산정 기준이 없어 법원이 가해자의 고의·과실 정도, 피해자의 사정, 사회통념 등을 종합적으로 고려하여 자유재량으로 정합니다.",불법행위,초급
생명침해로 인한 위자료는 누가 청구할 수 있나요?,"민법 제752조에 따라 타인의 생명을 해한 자는 피해자의 직계존속, 직계비속 및 배우자에게 재산상 손해가 없더라도 위자료 배상책임이 있습니다. 판례는 형제자매에게도 사실관계에 따라 위자료 청구를 인정하며, 사실혼 배우자도 인정될 수 있습니다.",불법행위,중급
미성년자가 가해자인 경우 누가 책임을 지나요?,"민법 제753조에 따라 미성년자가 책임을 변식할 지능(책임능력)이 없으면 본인은 책임이 없습니다. 통상 12~13세 정도를 기준으로 책임능력을 판단하며, 책임능력 없는 미성년자의 가해 시에는 제755조에 따라 감독의무자(친권자 등)가 책임을 집니다. 감독의무자가 감독 의무를 게을리하지 않았음을 입증하면 면책됩니다.",불법행위,중급
사용자책임이란 무엇인가요?,"민법 제756조에 따라 타인을 사용하여 어느 사무에 종사하게 한 자(사용자)는 피용자가 사무집행에 관하여 제3자에게 가한 손해를 배상할 책임이 있습니다. 사용자가 피용자 선임·감독에 상당한 주의를 다했음을 입증하면 면책되나, 실무상 입증이 어렵습니다. 사용자는 배상 후 피용자에게 구상권을 행사할 수 있습니다.",불법행위,중급
공동불법행위의 책임은 어떻게 되나요?,"민법 제760조에 따라 수인이 공동의 불법행위로 타인에게 손해를 가한 때에는 연대하여 손해배상책임을 집니다(부진정연대채무). 가해자가 누구인지 분명하지 않은 경우에도 같습니다(제2항). 피해자는 어느 가해자에게나 손해 전부의 배상을 청구할 수 있으며, 가해자 사이에는 과실 비율에 따라 구상관계가 성립합니다.",불법행위,중급
정당방위와 긴급피난도 불법행위 책임을 면하나요?,민법 제761조에 따라 타인의 불법행위에 대해 자기 또는 제3자의 이익을 방위하기 위해 부득이 타인에게 손해를 가한 자(정당방위)는 배상책임이 없습니다. 다만 피해자(불법행위자)는 원래의 불법행위에 대해 손해배상을 청구할 수 있습니다. 긴급피난(급박한 위난을 피하기 위한 행위)도 동일하게 적용됩니다.,불법행위,중급
